Id,Prediction
0,0.00085
1,0.0207
2,0.079
3,0.0042
4,0.04005
5,0.0153
6,0.00315
7,0.08865
8,0.02445
9,0.04925
10,0.00795
11,0.53715
12,0.04225
13,0.72635
14,0.0061
15,0.01
16,0.42365
17,0.02015
18,0.0961
19,0.03875
20,0.0135
21,0.2408
22,0.18565
23,0.0113
24,0.0153
25,0.0109
26,0.05375
27,0.0282
28,0.0235
29,0.0059
30,0.14355
31,0.088
32,0.06215
33,0.03835
34,0.01165
35,0.1241
36,0.02935
37,0.09235
38,0.03055
39,0.0008
40,0.0007
41,0.0161
42,0.108
43,0.02955
44,0.3997
45,0.13075
46,0.0285
47,0.03
48,0.0003
49,0.06545
50,0.1185
51,0.0073
52,0.013
53,0.00335
54,0.0106
55,0.0733
56,0.07485
57,0.6106
58,0.06555
59,0.08575
60,0.26515
61,0.00395
62,0.13905
63,0.01495
64,0.00805
65,0.04355
66,0.03355
67,0.0913
68,0.0285
69,0.4201
70,0.0082
71,0.083
72,0.55985
73,0.00565
74,0.0123
75,0.03915
76,0.0735
77,0.00195
78,0.0627
79,0.0949
80,0.0092
81,0.1445
82,0.01645
83,0.0254
84,0.54625
85,0.00045
86,0.13105
87,0.0497
88,0.0366
89,0.0105
90,0.02765
91,0.0324
92,0.00185
93,0.0201
94,0.0145
95,0.00305
96,0.0094
97,0.01495
98,0.2056
99,0.04575
100,0.0027
101,0.0103
102,0.00275
103,0.6361
104,0.0865
105,0.00465
106,0.1453
107,0.1376
108,0.0179
109,0.07045
110,0.1955
111,0.03935
112,0.0019
113,0.0972
114,0.002
115,0.4259
116,0.0086
117,0.01035
118,0.00115
119,0.0611
120,0.0138
121,0.11175
122,0.0013
123,0.0003
124,0.1984
125,0.6664
126,0.0715
127,0.0204
128,0.525
129,0.0818
130,0.02145
131,0.0266
132,0.03875
133,0.0987
134,0.1727
135,0.09365
136,0.1519
137,0.01035
138,0.03165
139,0.0644
140,0.19425
141,0.0323
142,0.0304
143,0.0382
144,0.08285
145,0.0014
146,0.02785
147,0.01815
148,0.28195
149,0.06305
150,0.0068
151,0.1703
152,0.17835
153,0.0041
154,0.0099
155,0.0108
156,0.02855
157,0.0017
158,0.3473
159,0.0558
160,0.0025
161,0.0955
162,0.03225
163,0.0219
164,0.1586
165,0.14345
166,0.2319
167,0.1396
168,0.01235
169,0.005
170,0.0631
171,0.4282
172,0.0601
173,0.09615
174,0.1697
175,0.00735
176,0.21175
177,0.0257
178,0.05905
179,0.0564
180,0.03695
181,0.087
182,0.0193
183,0.0048
184,0.0224
185,0.0205
186,0.08465
187,0.0044
188,0.02365
189,0.27825
190,0.027
191,0.0558
192,0.01425
193,0.06675
194,0.66245
195,0.0698
196,0.1738
197,0.0055
198,0.04685
199,0.0048
200,0.03485
201,0.15195
202,0.35465
203,0.00635
204,0.11045
205,0.0256
206,0.0139
207,0.0175
208,0.09985
209,0.07985
210,0.00765
211,0.0073
212,0.04105
213,0.09215
214,0.02785
215,0.00045
216,0.06505
217,0.03795
218,0.1016
219,0.0193
220,0.03015
221,0.00665
222,0.09355
223,0.1725
224,0.00095
225,0.0031
226,0.1881
227,0.11375
228,0.0375
229,0.01775
230,0.0283
231,0.0972
232,0.06625
233,0.1124
234,0.0069
235,0.1454
236,0.00715
237,0.0011
238,0.0031
239,0.18095
240,0.00455
241,0.0596
242,0.009
243,0.4731
244,0.0392
245,0.01695
246,0.0048
247,0.00245
248,0.03335
249,0.1965
250,0.1448
251,0.0678
252,0.00095
253,0.2514
254,0.0032
255,0.05325
256,0.00785
257,0.01295
258,0.00675
259,0.01735
260,0.04065
261,0.00815
262,0.02275
263,0.1138
264,0.0148
265,0.04065
266,0.00145
267,0.14235
268,0.0686
269,0.04095
270,0.1318
271,0.0001
272,0.2691
273,0.0735
274,0.0032
275,0.18795
276,0.0043
277,0.0166
278,0.0113
279,0.05385
280,0.04545
281,0.0383
282,0.0352
283,0.015
284,0.01035
285,0.0623
286,0.2024
287,0.0756
288,0.02255
289,0.0224
290,0.01605
291,0.02335
292,0.02945
293,0.0339
294,0.01345
295,0.03245
296,0.02905
297,0.08945
298,0.01215
299,0.0114
300,0.06725
301,0.1447
302,0.0677
303,0.03615
304,0.02225
305,0.02935
306,0.09685
307,0.18885
308,0.00805
309,0.0227
310,0.0475
311,0.56975
312,0.159
313,0.0483
314,0.0016
315,0.01675
316,0.00845
317,0.0039
318,0.41895
319,0.14
320,0.2735
321,0.14
322,0.00555
323,0.09535
324,0.0306
325,0.6596
326,0.06465
327,0.0163
328,0.0382
329,0.03595
330,0.08575
331,0.06405
332,0.02185
333,0.01325
334,0.04845
335,0.08235
336,0.0004
337,0.05825
338,0.02895
339,0.10515
340,0.04855
341,0.0389
342,0.03915
343,0.02395
344,0.0113
345,0.0165
346,0.00935
347,0.06825
348,0.01845
349,0.04645
350,0.04355
351,0.08845
352,0.0578
353,0.0194
354,0.03445
355,0.07545
356,0.065
357,0.0325
358,0.0759
359,0.0516
360,0.1421
361,0.06215
362,0.1275
363,0.0474
364,0.029
365,0.0856
366,0.06015
367,0.0293
368,0.03065
369,0.01685
370,0.00465
371,0.02315
372,0.01325
373,0.0679
374,0.00615
375,0.41365
376,0.05595
377,0.04485
378,0.1098
379,0.32905
380,0.073
381,0.0808
382,0.0248
383,0.03755
384,0.11615
385,0.15185
386,0.02905
387,0.03835
388,0.00405
389,0.02075
390,0.111
391,0.0717
392,0.0414
393,0.18545
394,0.0047
395,0.00165
396,0.00275
397,0.00375
398,0.13435
399,0.0224
400,0.0449
401,0.00325
402,0.05755
403,0.7726
